song_name,lyrics_text,sentiment,translated_lyrics,ChatGPT sentiment,VADER sentiment,TextBlob sentiment,Song Decade
Aangu Vaana Konilu,"അങ്ങ് വാനക്കോണില് മിന്നി നിന്നൊരമ്പിളി

അമ്പിളിക്കലയ്ക്കുള്ളില് ചോരക്കൺ മുയൽ

ഇങ്ങ് നീലത്തുരുത്തില് നീർപ്പരപ്പിൽ നിഴലിടും

അമ്പിളിക്കലയ്ക്കുള്ളില് ആമക്കുഞ്ഞനോ



ആമക്കുറുമ്പനന്ന് നെഞ്ചത്ത് വെറ്റിലച്ചെല്ലവുമായ്

താനേ വലിഞ്ഞുകേറി ദൂരത്തിൽ എങ്ങോ പതുങ്ങിയല്ലോ

താരക്കൊളുക്കുള്ളൊരാ ചേലൊക്കും വെറ്റിലച്ചെല്ലത്തിലോ

ഭൂമിയപ്പാടെ മൂടും അത്രയും വെറ്റിലയിട്ടു വെയ്ക്കാം - കുഞ്ഞിളം



വാവേ കഥ കേട്ട് മെല്ലെ മിഴിപൂട്ട് 

മാറിൻ ചൂടിൽ ഉറങ്ങ് .... ഉറങ്ങ് ...

പൊന്നേ തളരാതേ ഓമൽച്ചിരിയോടേ

കൊഞ്ചി കളിയാടി വളര് ... വളര് ...

ഉം ... ഉം ... ഉറങ്ങ് .... ഉറങ്ങ് ...



ആ ... ഏ ....



നീ നടന്നു പോകുമാ നീണ്ടുനീണ്ട പാതയിൽ

കൈവിരൽ പിടിക്കുവാൻ കൂടെയാരിനി



ആ ... ആ ...



എതിരെ നിന്നതേതുമേ താനെയങ്ങു നീക്കുവാൻ

ചാലു തീർത്തുമെത്തുമേ നീരൊഴുക്കുകൾ

തൊട്ടുതലോടിക്കൊണ്ട് കാറ്റില്ലേ നൊമ്പരം മാറ്റീടുവാൻ

ആകാശനക്ഷത്രങ്ങൾ ദിക്കെല്ലാം തെറ്റാതെ കാട്ടിത്തരും



മൂടുന്നിരുട്ടകറ്റാൻ തീയെന്നും മുന്നിൽ തെളിഞ്ഞു വരും

നീയെന്ന വിത്തെടുത്ത് മണ്ണൊരു കാടാക്കി മാറ്റിത്തരും - കുഞ്ഞിളം



വാവേ കഥ കേട്ട് മെല്ലെ മിഴിപൂട്ട് 

മാറിൻ ചൂടിൽ ഉറങ്ങ് .... ഉറങ്ങ് ...

പൊന്നേ തളരാതേ ഓമൽച്ചിരിയോടേ

കൊഞ്ചി കളിയാടി വളര് ... വളര് ...



ഉയർന്നു വാ ... ഉയർന്നു വാ ...

തടകളെ നീ ഉടച്ചു വാ

ഉയർന്നു വാ ... ഉയർന്നു വാ ...

ഉലകിനെ നീ ജയിച്ചു വാ",Positive,"There in the sky a star flashed, within the moon's disc a blood-eyed rabbit.
Here in the blue meadow on the water surface a shadow falls, within the moon's disc maybe a baby turtle.

That naughty boy with his betel nut-stained chest, has stealthily climbed up and gone afar.
In that star-studded cloth, can strew as much betel leaves and cover the entire earth - Little one.

Baby, slowly close your eyes listening to the story,
Rest in the warmth of the chest... sleep... sleep...
Dear, grow up without tiring, with a sweet smile,
Playing and growing... grow... grow...
... sleep... sleep...

As you walk on that long path, who will be there to hold your hand?
Whatever confronts you, will itself move away,
The rivers will keep flowing reaching their destinations,
The wind will comfort you by gently caressing your hair,
And the stars in the sky will accurately guide you.

The darkness is dispelled as the fire always shines ahead,
The seed that is you will transform the soil into a forest - Little one.

Baby, slowly close your eyes listening to the story, 
Rest in the warmth of the chest... sleep... sleep...
Dear, grow up without tiring, with a sweet smile,
Playing and growing... grow... grow...

Arise... arise...
Break the barriers, arise...
Arise... arise...
Conquer the world, arise...",Positive,Positive,Positive,2020s
Minnal Vala,"കണ്ണോടു കണ്ടപ്പോൾ കണ്ടെത്തി ഞാൻ

ആയിരം താരകൾ പൂത്തുവെന്ന്

പിന്നെയും പിന്നെയും കണ്ട നേരം

പുഞ്ചിരി പൂത്തുലഞ്ഞൂ

കാണാതെ വയ്യെന്ന തോന്നലായി

കണ്ടിട്ടും കണ്ടിട്ടും പോരാതായി

തൊട്ടപ്പോൾ ആത്മാവിൽ തേൻ നിറഞ്ഞൂ

പൂപോലെ നീ വിരിഞ്ഞൂ

ഉള്ളിലൊളിച്ചൊരു മോഹമെല്ലാം

കള്ളത്തരങ്ങടെ തുള്ളികളായ്

കണ്ട നേരം കൊണ്ടലായി

കൊണ്ടലിൽ മിന്നലായി



മിന്നൽ വള കയ്യിലിട്ട പെണ്ണഴകേ

എത്തിത്തൊടാൻ എത്തുകില്ല

മാരിവില്ലാണ് നീ

മിന്നൽ വള കയ്യിലിട്ട പെണ്ണഴകേ

എത്തിത്തൊടാൻ എത്തുകില്ല

മാരിവില്ലാണ് നീ 



ഈറൻ മുടി കോതി ഒരുങ്ങി

വെണ്ണിലാ ചന്ദനം തൊട്ട്

അത്തിമരച്ചോട്ടിൽ വന്നാൽ

താരക രാവ് 

രാവിൽ നിന്റെ പൂമുഖം കണ്ട്

പുളകം കൊണ്ടു നല്ലിളം കാറ്റ്

കണ്ണാടിപ്പുഴയിലെ പൂന്തിരകൾ

നാമല്ലോ തീരത്തെ ഓളങ്ങൾ

തീരാത്ത ദാഹത്തിൻ താളങ്ങൾ

പാരിതിൽ നാം പോയിടാം

വിൺ നദിപോൽ ഒഴുകിടാം



മിന്നൽ വള കയ്യിലിട്ട പെണ്ണഴകേ

എത്തിത്തൊടാൻ എത്തുകില്ല

മാരിവില്ലാണ് നീ

മിന്നൽ വള കയ്യിലിട്ട പെണ്ണഴകേ

എത്തിത്തൊടാൻ എത്തുകില്ല

മാരിവില്ലാണ് നീ



കായൽത്തിരമാലകളാകെ തേടിവന്ന പൂവുകളായി
 
പുൽക്കൂടിനരികിലായി ചേർന്നിരിക്കാം
 
ചുംബനപ്പൂവിതളെന്നിൽ ആദ്യാനുഭൂതികളായി 

ആദ്യാനുഭൂതികളിൽ ഞാനൊഴുകി 

ഞാനില്ല നീയില്ല നമ്മളൊന്നായ് 

ഓരോരോ രാവുകളും മോഹനമായ് 

നാമൊഴുകീ സ്നേഹമായ് 

പ്രിയതരമായൊഴുകീ പ്രണയമായ് 



മിന്നൽ വള കയ്യിലിട്ട പെണ്ണഴകേ

എത്തിത്തൊടാൻ എത്തുകില്ല

മാരിവില്ലാണ് നീ

കണ്ണോടു കണ്ടപ്പോൾ കണ്ടെത്തി ഞാൻ

ആയിരം താരകൾ പൂത്തുവെന്ന്

പിന്നെയും പിന്നെയും കണ്ട നേരം

പുഞ്ചിരി പൂത്തുലഞ്ഞൂ

ഉള്ളിലൊളിച്ചൊരു മോഹമെല്ലാം

കള്ളത്തരങ്ങടെ തുള്ളികളായ്

കണ്ട നേരം കൊണ്ടലായി

കൊണ്ടലിൽ മിന്നലായി

മിന്നൽ വള കയ്യിലിട്ട പെണ്ണഴകേ

എത്തിത്തൊടാൻ എത്തുകില്ല

മാരിവില്ലാണ് നീ",Positive,"When I saw it with my eyes, I discovered

that a thousand stars had bloomed,

and every time I saw it again,

there was a blossoming smile.

I couldn't help but feel that I must see it,

even though seeing it was still not enough.

When touched, my soul filled with honey,

you bloomed like a flower.

All the hidden desires

became bouncing droplets

at the time of seeing, becoming waves,

in the waves, you became lightning.

You, the beauty with the lightning bangle,

I cannot reach to touch,

you are a rainbow.

You, with the dampened hair, ready,

touched by the moonlight sandalwood,

if you come under the Fig tree,

it will be a night of stars.

Seeing your floral face in the night,

the gentle breeze shivers with excitement,

the blossoms in the mirror river,

we are the waves on the shore,

the rhythms of unending thirst,

lets go and float in the ocean,

flow like a river in the sky.

You, the beauty with the lightning bangle,

I cannot reach to touch,

you are a rainbow.

Flowers that came searching across the backwaters,

lets sit close by the grass hut,

first experiences like kissing petals,

I flowed in first experiences,

none of us, we became one,

each night became enchanting,

we flowed as love,

flowed dearly as love.

You, the beauty with the lightning bangle,

I cannot reach to touch,

you are a rainbow.",positive,Positive,Positive,2020s
Eyy Banane,"ലാ ലാ ലാ ലാലാാ ലാലാ 



തേരാ മേരാ ജീവന്‍ ഏതോ കാലക്കേടില്‍ ആണോ

ലോലാ വായോ പോകാം ലോകം കാണാന്‍ തേരാപാര

ഞെട്ടി ഹൃദയം പൊട്ടി വഴിയും തെറ്റി ഇവിടെത്തി

സിറ്റി നടുവില്‍ ചുറ്റി അടിയും പൊട്ടി പണികിട്ടി



എയ്യ് ബനാനേ ഒരു പൂ തരാമോ

എയ്യ് ബനാനേ ഒരു കായ് തരാമോ

പൂ കൊടുക്കാന്‍ അതിന്നാള്‍ വരേണ്ടേ

ആള്‍ ഇരുന്താള്‍ കയ്യില്‍ കായ് വരേണ്ടേ



മന്ദാകിനീ ഒന്നാകുമോ ചെന്താമരേ എന്‍ താമരേ

കണ്ടാലിനി കൊണ്ടാടുമോ പിന്നാലെ ഞാന്‍ വന്നാലുമേ

മന്ദാകിനീ ഒന്നാകുമോ ചെന്താമരേ എന്‍ താമരേ

 ലാ ലാ ലാ ലാലാാ ലാലാ 

ലാ ലാ ലാ ലാലാാ ലാലാ 



പെണ്ണേ.. ഉള്ളില്‍ എന്താ കല്ലോ മുള്ളോ തീയ്യോ

പൊന്നേ എല്ലാം പോയേ നിന്നേ തെക്കും നോക്കി

മാരാ തിരികെ പോകാം കഴിവില്ലാതെ കളിയില്ല

ഇല്ലാ തിരികെ ഇല്ലാ കളിയില്ലാതെ വരികില്ല

എന്താ തമാശ എല്ലാം നിരാശ

എന്താ ഹമേശ നൂലാമാല

എന്താ തമാശ എല്ലാം നിരാശ

എന്താ ഹമേശ നൂലാമാല



അടക്കം അച്ചടക്കലംഘനത്തില്‍ കുറ്റവാളി

അലമ്പുവിദ്യകള്‍ പഠിച്ചെടുത്ത പട്ടധാരി

അടിച്ചമര്‍ത്തിടാന്‍ ശ്രമിച്ചിടേണ്ട വാളുമേന്തി

അടുത്തുനന്‍പനുണ്ട് കാവലായി ചങ്കുകാട്ടി

ജയിച്ചു ശീലമില്ല തോല്‍വിയില്‍ കുരുത്തതാണേ

പിഴച്ച പാണ്ഡവന്മാര്‍ തോറ്റുപോയ യുദ്ധമാണേ

ജയിച്ചു ശീലമില്ല തോല്‍വിയില്‍ കുരുത്തതാണേ

പിഴച്ച പാണ്ഡവന്മാര്‍ തോറ്റുപോയ യുദ്ധമാണേ



ലാ ലാ ലാ ലാലാാ ലാലാ 



കരളില്‍ കേറാന്‍ മോഹം തോന്നുന്നേ പോരുന്നോ

മലരും തളിരും കുളിരും ആവോളം കൂടുന്നോ

മാരാ തിരികെ പോകാം കഴിവില്ലാതെ കളിയില്ല

ഇല്ലാ തിരികെ ഇല്ലാ കളിയില്ലാതെ വരികില്ല

എന്താ തമാശ എല്ലാം നിരാശ

എന്താ ഹമേശ നൂലാമാല

എന്താ തമാശ എല്ലാം നിരാശ

എന്താ ഹമേശ നൂലാമാല



എയ്യ് ബനാനേ ഒരു പൂ തരാമോ

എയ്യ് ബനാനേ ഒരു കായ് തരാമോ

പൂ കൊടുക്കാന്‍ അതിന്നാള്‍ വരേണ്ടേ

ആള്‍ ഇരുന്താള്‍ കയ്യില്‍ കായ് വരേണ്ടേ



മന്ദാകിനീ ഒന്നാകുമോ ചെന്താമരേ എന്‍ താമരേ

കണ്ടാലിനി കൊണ്ടാടുമോ പിന്നാലെ ഞാന്‍ വന്നാലുമേ

മന്ദാകിനീ ഒന്നാകുമോ ചെന്താമരേ എന്‍ താമരേ



ലാ ലാ ലാ ലാലാാ ലാലാ 



അടക്കം അച്ചടക്കലംഘനത്തില്‍ കുറ്റവാളി

അലമ്പുവിദ്യകള്‍ പഠിച്ചെടുത്ത പട്ടധാരി

അടിച്ചമര്‍ത്തിടാന്‍ ശ്രമിച്ചിടേണ്ട വാളുമേന്തി

അടുത്തുനന്‍പനുണ്ട് കാവലായി ചങ്കുകാട്ടി

ജയിച്ചു ശീലമില്ല തോല്‍വിയില്‍ കുരുത്തതാണേ

പിഴച്ച പാണ്ഡവന്മാര്‍ തോറ്റുപോയ യുദ്ധമാണേ

ജയിച്ചു ശീലമില്ല തോല്‍വിയില്‍ കുരുത്തതാണേ

പിഴച്ച പാണ്ഡവന്മാര്‍ തോറ്റുപോയ യുദ്ധമാണേ",Negative,"Is our life just a consequence of some past misdeed?

Let's go with the wind to see the world wide and far.

Startled, the heart broke, and we ended up losing our way here.

Roaming in the middle of the city, got beaten and battered.

Hey Banana, will you give a flower?

Hey Banana, will you give a fruit?

Shouldn't the time come to give a flower?

If there is someone, shouldn't a fruit come into the hand?

Will Mandakini merge, my red lotus, my lotus?

On seeing, shall we celebrate, if I come after?

Girl... what's inside, a stone, a thorn, or fire?

Everything fades as you look southward.

Let's go back, without the ability there's no game,

No going back, without the game there's no coming.

What a joke, all is despair!

What a regular tangled thread!

Violator of discipline and order,

A master who has learned useless skills,

Don't try to suppress wielding a sword,

A true friend stands by, showing his mettle,

Winning is not a habit, defeat has its strength,

The lost battles of Pandavas were real defeats.

In my heart, the desire to enter fights arises,

Will flowers, buds, and coolness gather enough?

Let's go back, without the ability there's no game,

No going back, without the game there's no coming.

What a joke, all is despair!

What a regular tangled thread!",Negative,Positive,Negative,2020s
Entammede Jimmiki Kammal,"എന്റമ്മേടെ ജിമിക്കി കമ്മൽ എന്റപ്പൻ കട്ടോണ്ടു പോയേ

എന്റപ്പന്റെ ബ്രാണ്ടിക്കുപ്പി എന്റമ്മ കുടിച്ചു തീർത്തേ

ഇവിടൊരു ചാകരയും വേലകളീം ഒത്തു വന്ന പോൽ

ചിലരുടെ തോർത്തു കീറി പോയ കാര്യം ഓർത്തു പോകവേ

അലകടൽ കാറ്റിനു നീ കാതുകുത്താൻ പാടുപെടേണ്ട

സദാചാര സേനാപതി വീരാ പടുകാമലോലുപാ

(എന്റമ്മേടേ…)



ചെമ്മീൻ ചാട്യാൽ മുട്ടോളം പിന്നേം ചാട്യാൽ ചട്ട്യോളം

ചുമ്മാ ഊതാൻ നോക്കാതെ തായം കളിക്കാൻ നിക്കാതെ

വട്ടം ചുറ്റി ചോരെല്ലാം  വട്ടപൂജ്യം പോലായേ 

വെട്ടം കാണാൻ കൊതിയായേ വെട്ടത്തിറങ്ങാൻ മടിയായേ

കലിവേഷം പോയെടാ ഇനി വേഷം മാറെടാ

മലയാറ്റൂർ പള്ളിയിലൊരു കുരിശും കൊട നേരാം

മലപോലെ വന്നത് എലി പോലെ പാഞ്ഞെടാ

ചന്നം പിന്നം ചെല്ലമഴ പൊടിക്കുന്നു പൊടിയൂത്തകളേ

(എന്റമ്മേടേ…)",Negative,"My mother took away my father's Jimikki Kammal (earring)

My father drank and finished my mother's bottle of brandy

Its like everyone came together for a festival

Remembering the time someone's mundu got torn

You don't have to trouble yourself piercing ears at the seashore breeze

Always be cautious of the moral police, the great passionate commander

If shrimp jumps knee-high and if it jumps again it jumps waist-high

Don't just blow without fighting, dont stand just to play dice

Going around aimlessly as if youve become zero-important

Longing to see the light but hesitant to go down from the height

Let go of the pretense, now change your guise

In Malayattoor church lets straighten a cross

Came like a mountain, but ran away like a mouse

Dusting off the first rains, youngsters scattered around",neutral,Positive,Positive,2010s
Malare Ninne,"തെളിമാനം മഴവില്ലിൻ നിറമണിയും നേരം

നിറമാർന്നൊരു കനവെന്നിൽ തെളിയുന്ന പോലെ

പുഴയോരം തഴുകുന്നീ തണുവീറൻ കാറ്റും

പുളകങ്ങൾ ഇഴനെയ്തൊരു കുഴലൂതിയ പോലെ

കുളിരേകും കനവെന്നിൽ കതിരാടിയ കാലം

മനതാരിൽ മധുമാസം തളിരാടിയ നേരം

അകമരുവും മയിലിണകൾ തുയിലുണരും കാലം

എൻ അകതാരിൽ അനുരാഗം പകരുന്ന യാമം

അഴകേ... അഴകിൽ തീർത്തൊരു ശിലയഴകേ

മലരേ... എന്നുയിരിൽ വിടരും പനിമലരേ...



മലരേ നിന്നെ കാണാതിരുന്നാൽ

മിഴിവേകിയ നിറമെല്ലാം മായുന്നപോലെ

അലിവോടെന്നരികത്തിന്നണയാതിരുന്നാൽ

അഴകേകിയ കനവെല്ലാം അകലുന്നപോലെ

ഞാനെന്റെ ആത്മാവിനാഴത്തിനുള്ളിൽ

അതിലോലമാരോരുമറിയാതെ സൂക്ഷിച്ച

താളങ്ങൾ രാഗങ്ങൾ ഈണങ്ങളായി

ഓരോരോ വർണ്ണങ്ങളായ്

ഇടറുന്നൊരെന്റെ ഇടനെഞ്ചിനുള്ളിൽ

പ്രണയത്തിൻ മഴയായ് നീ പൊഴിയുന്നീ നാളിൽ

തളരുന്നൊരെന്റെ തനുതോറും നിന്റെ

അലതല്ലും പ്രണയത്താലുണരും മലരേ...

അഴകേ...



മ്..മ്...

കുളിരേകും കനവെന്നിൽ കതിരാടിയ കാലം

മനതാരിൽ മധുമാസം തളിരാടിയ നേരം

അകമരുവും മയിലിണകൾ തുയിലുണരും കാലം

എൻ അകതാരിൽ അനുരാഗം പകരുന്ന യാമം

അഴകേ... അഴകിൽ തീർത്തൊരു ശിലയഴകേ

മലരേ... എന്നുയിരിൽ വിടരും പനിമലരേ...

ഓ.... ഓ....",Positive,"When the clear vision of the rainbow colors

As a colorful dream shines in me

The cold breeze that caresses the riverbank

As if a flute played with quivering emotions

A cool dream where the season blossoms

A time when spring blooms in the heart

When peacocks in the grove awaken

The time that fills my heart with love

Oh beauty... a statue carved in beauty

Flower... blooming in my soul...

If I cannot see you, Flower

All the vibrant colors fade away

If you don't come close with tenderness

All my beautiful dreams seem to distance

Inside the depth of my soul,

I've silently kept rhythms, tunes as colors

Inside my trembling heart,

On the day you pour down as rain of love,

The weakness across my body,

Awakens with the fluttering love, oh Flower...

Oh beauty...

Oh...

A cool dream where the season blossoms

A time when spring blooms in the heart

When peacocks in the grove awaken

The time that fills my heart with love

Oh beauty... a statue carved in beauty

Flower... blooming in my soul...

Oh... Oh...",positive,Positive,Positive,2010s
Kudukku,"കുടുക്ക് പൊട്ടിയ കുപ്പായം 

ഉടുത്തു മണ്ടണ കാലത്തെ 

മിടുക്കിപ്പെണ്ണേ എന്നുടെ നെഞ്ചിൻ 

നടുക്കിരുന്നവളാണേ നീ 

നടുക്കിരുന്നവളാണേ നീ (2)



ഓൺ ദ ഫ്ലോർ ബേബി

ഹിറ്റ് ഇറ്റ് ഹാർഡ് ബേബി 

റോക് ദ പാർട്ടി ബേബി 

പറ്റൂല്ലേങ്കി പോടീ   (2)

(കുടുക്ക് ...)



നടവരമ്പത്ത് കണ്ടാലും 

പടിയ്ക്കലങ്ങനെ നിന്നാലും 

പടച്ചറബ്ബേ പിന്നെന്റെയുള്ളിൽ 

പടക്കപ്പീടിക കത്തുന്നേ  



അരിക്കലത്തില് പൊന്നമ്മ 

കാശൊളിപ്പിച്ച പോലെ ഞാൻ 

ഒതുക്കിവെച്ചത് ഒടുക്കം കണ്ടവൻ 

പറിച്ചെടുത്തത് കണ്ടില്ലേ 

(ഓൺ ദ ഫ്ലോർ..)



കുടിച്ചിറക്കിയ കണ്ണീരിൽ 

അടിച്ചുതെന്നി ഞാൻ വീഴുമ്പം 

പിടിച്ചുനിൽക്കാൻ പഴുതടയുമ്പൊ  

ചിരിച്ചിരിയ്ക്കല്ലേ ചങ്ങാതീ  

ചിരിച്ചിരിയ്ക്കല്ലേ ചങ്ങാതീ   



(കുടുക്ക് ...)     (ഓൺ ദ ഫ്ലോർ...)",Negative,"The blouse is torn,
Wear it during the foolish times,
Oh clever girl, you are the one
Who shook my heart,
You are the one who shook (2)

On the floor baby,
Hit it hard baby,
Rock the party baby,
If you can't handle it, leave (2)

Even if I see you on the bridge,
Or stand by the doorstep,
Oh my god, inside me,
A fireworks factory is burning.

At the seashore, like my dear mother;
Like I had carefully saved money,
The one who saw it at the end,
Didn't you see it being plucked away?

In the tears I've shed,
When I fall while hitting,
When I try to stop the gap to stand,
Don't keep smiling, my friend,
Don't keep smiling, my friend.",Negative,Positive,Negative,2010s
Picha Vaacha Naal,"പിച്ച വെച്ച നാൾമുതൽക്കു നീ എന്റെ സ്വന്തമെന്റെസ്വന്തമായ്

ആശകൊണ്ടു കൂടുകൂട്ടി നാം ഇഷ്ടം കൂടി എന്നുമെന്നും  (പിച്ചവെച്ച)



വീടൊരുങ്ങി നാടൊരുങ്ങി കൽ‌പ്പാത്തിത്തേരൊരുങ്ങി 

പൊങ്കലുമായ് വന്നു പൌർണ്ണമി (വീടൊരുങ്ങി)

കയ്യിൽ കുപ്പിവളയുടെ മേളം കാലിൽ പാദസരത്തിന്റെ താളം

അഴകായ് നീ തുളുമ്പുന്നു അരികിൽ ഹൃദയംകുളിരുന്നു    (പിച്ചവെച്ച)



ന ന നാ.. നാ..നാ

നാ നാനാ നാനാ നാ,,,നാ  

ധി ര നാ.. ധി ര നാ... നി ധ പ മ

രി മ രി മാ നി ധ സ നി ധ മ പാ



കോലമിട്ടു പൊൻപുലരി കോടമഞ്ഞിൻ താഴ്വരയിൽ

മഞ്ഞലയിൽ മാഞ്ഞുപോയി നാം (കോലമിട്ടു)

ചുണ്ടിൽ ചോരുന്നു ചെന്തമിഴ് ചിന്ത്

മാറിൽ ചേരുന്നു മുത്തമിഴ് ചന്തം

മൃദുമൌനം മയങ്ങുന്നു അമൃതുംതേനും കലരുന്നു (പിച്ചവെച്ച)",Positive,"Since the day you committed to me, you have been solely mine.  
We built our nest with love, our fondness growing forever.  

The house is set, the village is set, the chariot in Kalpathi is ready.  
With the festival of Pongal, the full moon arrives.  
The melody of bangles in your hand, the rhythm of the anklet on your feet,  
You radiate beauty, and nearby, my heart cools.  

Creating a rangoli at dawn in the valley of mist,  
Our yellow fades away.  
Red Tamil leaks from your lips,  
The fragrance of Tamil kisses blend on your chest,  
Soft silence lingers, mingling nectar and honey.",positive,Positive,Positive,2000s
Nee oru puzhayaay,"നീയൊരു പുഴയായ്ത്തഴുകുമ്പോള്‍ 

ഞാന്‍ പ്രണയം വിടരും കരയാകും (2) 

കനകമയൂരം നീയാണെങ്കില്‍

മേഘക്കനവായ് പൊഴിയും ഞാന്‍

(നീയൊരു..)



ഇലപൊഴിയും ശിശിരവനത്തില്‍ നീ

അറിയാതൊഴുകും കാറ്റാകും

നിന്‍ മൃദുവിരലിന്‍ സ്പർശം കൊണ്ടെന്‍

പൂമരമടിമുടി തളിരണിയും

ശാരദയാമിനി നീയാകുമ്പോള്‍

യാമക്കിളിയായ് പാടും ഞാന്‍

ഋതുവിന്‍ ഹൃദയം നീയായ് മാറും

പ്രേമ സ്പന്ദനമാകും ഞാന്‍

(നീയൊരു..)



കുളിര്‍മഴയായ് നീ പുണരുമ്പോള്‍

പുതുമണമായ് ഞാന്‍ ഉണരും

മഞ്ഞിന്‍ പാദസരം നീയണിയും

ദളമര്‍മ്മരമായ് ഞാന്‍ ചേരും

അന്നു കണ്ട കിനാവിന്‍ തൂവല്‍

കൊണ്ടു നാമൊരു കൂടണിയും

പിരിയാന്‍ വയ്യാപ്പക്ഷികളായ് നാം

തമ്മില്‍ തമ്മില്‍ കഥ പറയും

(നീയൊരു..)",Positive,"When you flow like a river

I become the shore that blooms with love (2)

If you are the golden peacock

I will pour down like a dreamy cloud

(You are...)



In the autumn forest where leaves fall, you

Flow unknowingly like the wind

With the touch of your tender fingers

My tree's crown will sprout new leaves

When you become the autumn moonlight

I will sing like the nightingale

You will become the heart of the season

I will be the rhythm of love

(You are...)

When you embrace as the cool rain

I will awaken as the fresh scent

You wear the frost like anklets

I will merge like the whispering petals

With the feather of the dream we saw then

We will build a nest together

Unable to part, we as unseparable birds

Will share stories with each other

(You are...)",positive,Positive,Positive,2000s
Mazhavil,"അ...

മഴയില്‍ രാത്രിമഴയില്‍ 

പൊഴിയുമീ സ്നേഹ നിറവില്‍

നിനവേ അ..

നിനവേ എന്തേ നിന്നില്‍

വിരഹം ചേരും നോവിന്‍ നീലാമ്പരി

മഴയില്‍ രാത്രിമഴയില്‍ 

പൊഴിയും സ്നേഹ നിറവില്‍



മുഖം തരാതെ പോയ് മറഞ്ഞോ വസന്ത കാലം (2)

മധുര മൊഴികളേ

നിങ്ങള്‍ പോലും മൗനം തേടും നേരം

ഹരിതവനികളേ ഇലകളെരിയുമൊരു‌

ചിതയുടെ കനലൊളിയോ ഗ്രീഷ്മം ഗ്രീഷ്മം



മഴയില്‍ രാത്രി മഴയില്‍ 

പൊഴിയുമീ സ്നേഹ നിറവില്‍



അ...



ദലം കരിഞ്ഞ വേനലെങ്ങോ അകന്ന പോലെ (2)

മിഥുന ശലഭമേ

നീയോ മെല്ലെ ദൂരെ മേയും നേരം

വിധുര രജനിയുടെ മുകുല മനസ്സിലൊരു

ജനമണി പതിയുകയോ വീണ്ടും വീണ്ടും



(മഴയില്‍ രാത്രി) ഉം...",Negative,"Ah...

In the night rain, in the night rain,  
Love spills in abundance,  
It's you, ah...  
It's you, why in you  
Pain melds into a blue serenade?  

In the night rain, in the night rain,  
Love spills in abundance.  

Without showing your face, did you vanish like the springtime? (2)  
Sweet words,  
Even you seek silence sometimes.  
In the green forests, are the burning leaves  
Like the flames of a pyre, summer, summer?  

In the night rain, in the night rain,  
Love spills in abundance.  

Ah...  

Like the burnt summer that went far away (2)  
O pair of butterflies,  
When you gently wander far,  
In the budding heart of a lonely night,  
Does a gem imprint again and again?  

(In the night rain) Um...",negative,Positive,Positive,2000s
Paathiraavaayi,"പാതിരാവായി നേരം പനിനീര്‍ക്കുളിരമ്പിളീ

എന്റെ മനസ്സിന്റെ മച്ചുമ്മേലെന്തിനിന്നുറങ്ങാതലയുന്നു നീ

ആരിരം രാരം പാടി കടിഞ്ഞൂല്‍ക്കനവോടെയീ

താഴെ തണുപ്പിന്റെ കിക്കിളിപ്പായയിലുറങ്ങാതുരുകുന്നു ഞാന്‍



നിന്നെത്തലോടും തെന്നല്‍ കള്ളക്കൊഞ്ചലുമായി

പമ്മിപ്പതുങ്ങി വന്നു കിളിവാതിലിലൂടെ

കിന്നാരക്കാറ്റിന്റെ കാതില്‍ പുന്നാരം ഞാനൊന്നു ചൊല്ലി

നിന്നെയുറക്കാന്‍ ഞാനുണര്‍ന്നീരാവിനു കൂട്ടിരുന്നേ ഓ..

(പാതിരാവായി)



മഞ്ഞുപൊതിഞ്ഞ മോഹം മിഴിമൂടിയ നാണം

എന്നിലൊതുങ്ങിനിന്നേ എന്നെ ഞാനും മറന്നേ

ഗോവണിത്താഴത്തുവന്നേ ദാവണിസ്വപ്നവും കണ്ടേ

നിന്നെയുറക്കാന്‍ ഞാനുണര്‍ന്നീരാവിനു കൂട്ടിരുന്നേ ഓ...

(പാതിരാവായി)",Neutral,"In the middle of the night, when the chill of rose water lingers,

Why do you lie awake on the hammock of my mind?

With tangled dreams sung in a low tone,

I lie awake on the chilly swing below.

With a deceptive breeze caressing you gently,

Creeping quietly through the door,

I whispered a sweet nothing into the ear of the playful wind,

Staying awake this night to put you to sleep.

(At midnight)

With desires wrapped in frost and shy glances,

I forgot myself being confined,

Descending to the lower balconies, I saw dreams of you in the sari,

Staying awake this night to put you to sleep.

(At midnight)",neutral,Positive,Positive,1990s
